fir_number,date,district,area,crime_type,sections,modus_operandi,status,is_synthetic
FIR-2024-DAV-0223,2024-07-07,Davanagere,Bali Road,Chain Snatching,BNS 304,two-wheeler drive-by snatching,under-investigation,True
FIR-2024-VIJ-0224,2024-04-10,Vijayapur,Rama Street,Theft,BNS 303,shop till theft,closed,True
FIR-2024-CHI-0225,2024-11-21,Chickballapura,Pathak Chowk,Burglary,BNS 331,terrace entry,charge-sheeted,True
FIR-2025-DHA-0226,2025-10-18,Dharwad,Bal Zila,Burglary,BNS 331,night house-break via rear entry,convicted,True
FIR-2025-BEL-0227,2025-07-18,Belagavi,Dasgupta Circle,Extortion,BNS 308,protection money demand,court-pending,True
FIR-2025-MYS-0228,2025-08-27,Mysuru,Merchant Chowk,Robbery,BNS 309,ATM-exit targeting,court-pending,True
FIR-2024-KOL-0229,2024-04-02,Kolar,Chopra Circle,Chain Snatching,BNS 304,two-wheeler drive-by snatching,court-pending,True
FIR-2025-MYS-0230,2025-01-02,Mysuru,Kurian Street,Extortion,BNS 308,protection money demand,convicted,True
FIR-2025-UDU-0231,2025-08-06,Udupi,Agate Street,Cyber Fraud,IT Act 66D,UPI phishing call,court-pending,True
FIR-2025-KAL-0232,2025-09-10,Kalaburagi,Kant,Cyber Fraud,IT Act 66D,UPI phishing call,under-investigation,True
FIR-2024-CHI-0233,2024-04-26,Chickballapura,Pathak Chowk,Cyber Fraud,IT Act 66D,UPI phishing call,closed,True
FIR-2024-KOL-0234,2024-07-03,Kolar,Mitra Circle,Theft,BNS 303,pickpocketing in transit,court-pending,True
FIR-2024-BAL-0235,2024-06-23,Ballari,Chaudhary Marg,Extortion,BNS 308,protection money demand,court-pending,True
FIR-2024-KAL-0236,2024-08-23,Kalaburagi,Chokshi Path,Robbery,BNS 309,ATM-exit targeting,court-pending,True
FIR-2025-DHA-0237,2025-11-25,Dharwad,Aurora Street,Robbery,BNS 309,knife-point street robbery,charge-sheeted,True
FIR-2024-DAV-0238,2024-05-17,Davanagere,Saxena Chowk,Cheating,BNS 318,investment ponzi scheme,convicted,True
FIR-2025-VIJ-0239,2025-01-19,Vijayapur,Yogi Ganj,Murder,BNS 103,personal enmity,charge-sheeted,True
FIR-2025-MAN-0240,2025-07-24,Mandya,Johal Zila,Rioting,BNS 191,protest escalation,under-investigation,True
FIR-2025-DAK-0241,2025-04-02,Dakshina Kannada,Shetty Zila,Burglary,BNS 331,lock-picking daytime entry,under-investigation,True
FIR-2024-KAL-0242,2024-04-03,Kalaburagi,Kant,Murder,BNS 103,property dispute,closed,True
FIR-2025-KOL-0243,2025-03-25,Kolar,Bassi Ganj,Rioting,BNS 191,communal flashpoint clash,under-investigation,True
FIR-2025-MAN-0244,2025-02-13,Mandya,Johal Zila,Theft,BNS 303,vehicle theft from parking,charge-sheeted,True
FIR-2024-RAI-0245,2024-10-18,Raichur,Sandhu Marg,NDPS,NDPS Act 20,courier parcel concealment,charge-sheeted,True
FIR-2024-DHA-0246,2024-06-28,Dharwad,Zachariah Street,Theft,BNS 303,pickpocketing in transit,court-pending,True
FIR-2025-CHI-0247,2025-07-30,Chickballapura,Comar Circle,Cheating,BNS 318,fake job placement racket,convicted,True
FIR-2025-BAL-0248,2025-11-24,Ballari,Dubey,Burglary,BNS 331,lock-picking daytime entry,charge-sheeted,True
FIR-2024-RAI-0249,2024-03-18,Raichur,Srinivas Nagar,Cyber Fraud,IT Act 66D,OTP social engineering,charge-sheeted,True
FIR-2024-BEL-0250,2024-12-30,Belagavi,Lalla Nagar,Burglary,BNS 331,terrace entry,closed,True
FIR-2025-HAS-0251,2025-01-15,Hassan,Bail,Extortion,BNS 308,digital arrest threat call,closed,True
FIR-2025-RAI-0252,2025-05-04,Raichur,Balasubramanian Chowk,Cheating,BNS 318,fake job placement racket,court-pending,True
FIR-2024-MAN-0253,2024-11-29,Mandya,Jha,Burglary,BNS 331,lock-picking daytime entry,closed,True
FIR-2025-UDU-0254,2025-01-16,Udupi,Agate Street,Burglary,BNS 331,terrace entry,charge-sheeted,True
FIR-2024-KAL-0255,2024-07-19,Kalaburagi,Sinha Ganj,Cheating,BNS 318,investment ponzi scheme,charge-sheeted,True
FIR-2024-BEL-0256,2024-09-17,Belagavi,Raj Road,Burglary,BNS 331,lock-picking daytime entry,convicted,True
FIR-2025-RAI-0257,2025-08-12,Raichur,Srinivas Nagar,Rioting,BNS 191,protest escalation,closed,True
FIR-2025-SHI-0258,2025-09-20,Shivamogga,Rao Nagar,Cheating,BNS 318,investment ponzi scheme,court-pending,True
FIR-2024-SHI-0259,2024-08-21,Shivamogga,Parmer Circle,Cyber Fraud,IT Act 66D,courier scam,court-pending,True
FIR-2025-DAV-0260,2025-11-08,Davanagere,Reddy Chowk,Burglary,BNS 331,lock-picking daytime entry,under-investigation,True
FIR-2024-BEL-0261,2024-03-26,Belagavi,Pillay Chowk,NDPS,NDPS Act 20,street-level peddling,court-pending,True
FIR-2025-KAL-0262,2025-10-03,Kalaburagi,Sinha Ganj,Extortion,BNS 308,protection money demand,court-pending,True
FIR-2024-BAG-0263,2024-06-30,Bagalkot,Ben Road,NDPS,NDPS Act 20,hostel network supply,court-pending,True
FIR-2024-MAN-0264,2024-11-11,Mandya,Johal Zila,Extortion,BNS 308,protection money demand,convicted,True
FIR-2025-MAN-0265,2025-07-15,Mandya,Dass Ganj,Murder,BNS 103,gang rivalry,charge-sheeted,True
FIR-2025-DAV-0266,2025-09-19,Davanagere,Kalla Path,NDPS,NDPS Act 20,hostel network supply,court-pending,True
FIR-2024-BAG-0267,2024-04-23,Bagalkot,Ben Road,Theft,BNS 303,vehicle theft from parking,under-investigation,True
FIR-2024-BEN-0268,2024-08-26,Bengaluru City,Wali Path,Chain Snatching,BNS 304,market crowd snatching,closed,True
FIR-2024-RAI-0269,2024-03-14,Raichur,Swaminathan Zila,Cheating,BNS 318,fake job placement racket,under-investigation,True
FIR-2024-BEL-0270,2024-02-04,Belagavi,Dasgupta Circle,Burglary,BNS 331,terrace entry,charge-sheeted,True
FIR-2025-BEL-0271,2025-06-17,Belagavi,Pillay Chowk,NDPS,NDPS Act 20,courier parcel concealment,charge-sheeted,True
FIR-2024-BEN-0272,2024-11-28,Bengaluru City,Iyer Street,Cheating,BNS 318,land document forgery,convicted,True
FIR-2024-TUM-0273,2024-09-11,Tumakuru,Pau Marg,Robbery,BNS 309,ATM-exit targeting,closed,True
FIR-2024-RAI-0274,2024-11-20,Raichur,Sandhu Marg,Burglary,BNS 331,lock-picking daytime entry,convicted,True
FIR-2025-BAG-0275,2025-12-24,Bagalkot,Ghosh Nagar,Extortion,BNS 308,digital arrest threat call,court-pending,True
FIR-2025-MAN-0276,2025-07-08,Mandya,Johal Zila,Theft,BNS 303,pickpocketing in transit,under-investigation,True
FIR-2024-HAS-0277,2024-09-01,Hassan,Gupta Road,Rioting,BNS 191,protest escalation,court-pending,True
FIR-2025-HAS-0278,2025-02-23,Hassan,Gupta Road,Cyber Fraud,IT Act 66D,UPI phishing call,under-investigation,True
FIR-2024-BEL-0279,2024-07-15,Belagavi,Lalla Nagar,Extortion,BNS 308,digital arrest threat call,court-pending,True
FIR-2025-CHI-0280,2025-11-02,Chickballapura,Sama Street,Burglary,BNS 331,terrace entry,charge-sheeted,True
FIR-2024-VIJ-0281,2024-03-20,Vijayapur,Tailor Road,Theft,BNS 303,vehicle theft from parking,closed,True
FIR-2025-MAN-0282,2025-10-15,Mandya,Johal Zila,Robbery,BNS 309,highway vehicle stop,convicted,True
FIR-2025-BAG-0283,2025-09-06,Bagalkot,Ghosh Nagar,NDPS,NDPS Act 20,hostel network supply,closed,True
FIR-2024-RAI-0284,2024-09-03,Raichur,Srinivas Nagar,Rioting,BNS 191,protest escalation,charge-sheeted,True
FIR-2024-SHI-0285,2024-01-07,Shivamogga,Pillai Zila,Theft,BNS 303,shop till theft,court-pending,True
FIR-2024-KAL-0286,2024-12-30,Kalaburagi,Sinha Ganj,Extortion,BNS 308,protection money demand,under-investigation,True
FIR-2024-CHI-0287,2024-11-28,Chickballapura,Comar Circle,Robbery,BNS 309,ATM-exit targeting,charge-sheeted,True
FIR-2025-UDU-0288,2025-08-13,Udupi,Kalita,Murder,BNS 103,property dispute,convicted,True
FIR-2025-SHI-0289,2025-10-09,Shivamogga,Patil Ganj,Rioting,BNS 191,communal flashpoint clash,charge-sheeted,True
FIR-2025-KOL-0290,2025-09-01,Kolar,Chopra Circle,Extortion,BNS 308,digital arrest threat call,under-investigation,True
FIR-2025-DHA-0291,2025-05-28,Dharwad,Ghosh Road,Cheating,BNS 318,fake job placement racket,convicted,True
FIR-2025-HAS-0292,2025-03-16,Hassan,Gupta Road,Theft,BNS 303,shop till theft,under-investigation,True
FIR-2024-BAL-0293,2024-05-29,Ballari,Saini Circle,Rioting,BNS 191,communal flashpoint clash,convicted,True
FIR-2024-BEN-0294,2024-10-21,Bengaluru City,Zacharia Street,Burglary,BNS 331,night house-break via rear entry,convicted,True
FIR-2025-KAL-0295,2025-05-09,Kalaburagi,Chokshi Path,NDPS,NDPS Act 20,hostel network supply,charge-sheeted,True
FIR-2024-BEN-0296,2024-10-04,Bengaluru City,Sagar Path,Rioting,BNS 191,protest escalation,charge-sheeted,True
FIR-2024-UDU-0297,2024-08-24,Udupi,Kalita,Cheating,BNS 318,fake job placement racket,closed,True
FIR-2025-CHI-0298,2025-06-26,Chickballapura,Pathak Chowk,Burglary,BNS 331,night house-break via rear entry,convicted,True
FIR-2024-RAI-0299,2024-01-31,Raichur,Sandhu Marg,Cheating,BNS 318,land document forgery,closed,True
FIR-2025-HAS-0300,2025-09-11,Hassan,Bail,Theft,BNS 303,vehicle theft from parking,court-pending,True
FIR-2025-KOL-0301,2025-12-06,Kolar,Thakur Chowk,Theft,BNS 303,vehicle theft from parking,charge-sheeted,True
FIR-2025-BEL-0302,2025-06-29,Belagavi,Dasgupta Circle,NDPS,NDPS Act 20,street-level peddling,charge-sheeted,True
FIR-2024-DAK-0303,2024-07-11,Dakshina Kannada,Shetty Zila,Chain Snatching,BNS 304,market crowd snatching,convicted,True
FIR-2024-CHI-0304,2024-03-22,Chickballapura,Comar Circle,Cyber Fraud,IT Act 66D,courier scam,court-pending,True
FIR-2025-BEN-0305,2025-02-22,Bengaluru City,Zacharia Street,Murder,BNS 103,personal enmity,closed,True
FIR-2025-CHI-0306,2025-09-23,Chickballapura,Soni Zila,Extortion,BNS 308,protection money demand,convicted,True
FIR-2024-BAL-0307,2024-02-13,Ballari,Chaudhary Marg,Extortion,BNS 308,protection money demand,closed,True
FIR-2024-BAG-0308,2024-10-19,Bagalkot,Naik,Theft,BNS 303,pickpocketing in transit,charge-sheeted,True
FIR-2025-RAI-0309,2025-05-27,Raichur,Srinivas Nagar,Robbery,BNS 309,highway vehicle stop,charge-sheeted,True
FIR-2024-BAG-0310,2024-05-06,Bagalkot,Ghosh Nagar,Chain Snatching,BNS 304,two-wheeler drive-by snatching,under-investigation,True
FIR-2025-SHI-0311,2025-12-30,Shivamogga,Parmer Circle,Chain Snatching,BNS 304,market crowd snatching,convicted,True
FIR-2025-CHI-0312,2025-04-14,Chickballapura,Pathak Chowk,Murder,BNS 103,personal enmity,court-pending,True
FIR-2025-BAG-0313,2025-02-23,Bagalkot,Khanna Path,Extortion,BNS 308,protection money demand,court-pending,True
FIR-2025-SHI-0314,2025-11-14,Shivamogga,Parmer Circle,Murder,BNS 103,personal enmity,closed,True
FIR-2025-RAI-0315,2025-09-01,Raichur,Srinivas Nagar,Rioting,BNS 191,protest escalation,closed,True
FIR-2025-TUM-0316,2025-07-17,Tumakuru,Pau Marg,Cheating,BNS 318,investment ponzi scheme,charge-sheeted,True
FIR-2024-SHI-0317,2024-03-30,Shivamogga,Rao Nagar,Rioting,BNS 191,protest escalation,court-pending,True
FIR-2024-BEN-0318,2024-07-17,Bengaluru City,Sagar Path,Theft,BNS 303,vehicle theft from parking,under-investigation,True
FIR-2025-VIJ-0319,2025-10-14,Vijayapur,Tailor Road,NDPS,NDPS Act 20,hostel network supply,court-pending,True
FIR-2025-HAS-0320,2025-12-03,Hassan,Kala Zila,Robbery,BNS 309,ATM-exit targeting,charge-sheeted,True
FIR-2025-MYS-0321,2025-04-30,Mysuru,Kurian Street,Extortion,BNS 308,digital arrest threat call,charge-sheeted,True
FIR-2024-KAL-0322,2024-12-28,Kalaburagi,Narang Nagar,Cyber Fraud,IT Act 66D,OTP social engineering,convicted,True
FIR-2024-HAS-0323,2024-11-11,Hassan,Gupta Road,Robbery,BNS 309,highway vehicle stop,convicted,True
FIR-2024-MYS-0324,2024-04-24,Mysuru,Kurian Street,Chain Snatching,BNS 304,market crowd snatching,closed,True
FIR-2025-SHI-0325,2025-06-20,Shivamogga,Parmer Circle,Extortion,BNS 308,protection money demand,under-investigation,True
FIR-2024-BEN-0326,2024-04-28,Bengaluru City,Zacharia Street,NDPS,NDPS Act 20,hostel network supply,closed,True
FIR-2025-SHI-0327,2025-08-14,Shivamogga,Pillai Zila,Murder,BNS 103,personal enmity,charge-sheeted,True
FIR-2025-KAL-0328,2025-07-16,Kalaburagi,Narang Nagar,Robbery,BNS 309,knife-point street robbery,court-pending,True
FIR-2025-MYS-0329,2025-04-27,Mysuru,Mahajan Circle,Murder,BNS 103,personal enmity,charge-sheeted,True
FIR-2025-KAL-0330,2025-08-04,Kalaburagi,Chokshi Path,Extortion,BNS 308,digital arrest threat call,convicted,True
FIR-2024-BEN-0331,2024-11-28,Bengaluru City,Sagar Path,Cyber Fraud,IT Act 66D,OTP social engineering,charge-sheeted,True
FIR-2024-RAI-0332,2024-11-29,Raichur,Balasubramanian Chowk,Robbery,BNS 309,ATM-exit targeting,convicted,True
FIR-2025-TUM-0333,2025-01-28,Tumakuru,Pau Marg,Extortion,BNS 308,digital arrest threat call,under-investigation,True
FIR-2025-BEL-0334,2025-04-19,Belagavi,Raj Road,Rioting,BNS 191,protest escalation,under-investigation,True
FIR-2025-BEN-0335,2025-10-13,Bengaluru City,Iyer Street,Chain Snatching,BNS 304,market crowd snatching,court-pending,True
FIR-2025-SHI-0336,2025-08-06,Shivamogga,Rao Nagar,Theft,BNS 303,shop till theft,convicted,True
FIR-2025-RAI-0337,2025-01-13,Raichur,Balasubramanian Chowk,Murder,BNS 103,gang rivalry,under-investigation,True
FIR-2025-UDU-0338,2025-12-29,Udupi,Dhillon Road,Rioting,BNS 191,communal flashpoint clash,court-pending,True
FIR-2024-BEN-0339,2024-01-12,Bengaluru City,Iyer Street,Chain Snatching,BNS 304,market crowd snatching,convicted,True
FIR-2025-DHA-0340,2025-04-11,Dharwad,Ghosh Road,Cheating,BNS 318,fake job placement racket,charge-sheeted,True
FIR-2025-MYS-0341,2025-08-13,Mysuru,Contractor Path,Burglary,BNS 331,night house-break via rear entry,convicted,True
FIR-2025-TUM-0342,2025-06-13,Tumakuru,Borra Chowk,Extortion,BNS 308,protection money demand,under-investigation,True
FIR-2025-CHI-0343,2025-06-08,Chickballapura,Soni Zila,Extortion,BNS 308,digital arrest threat call,charge-sheeted,True
FIR-2025-SHI-0344,2025-11-03,Shivamogga,Patil Ganj,Murder,BNS 103,personal enmity,under-investigation,True
FIR-2024-BAL-0345,2024-09-24,Ballari,Chaudhary Marg,Rioting,BNS 191,protest escalation,convicted,True
FIR-2025-BAL-0346,2025-01-27,Ballari,Chaudhary Marg,Cheating,BNS 318,investment ponzi scheme,convicted,True
FIR-2025-CHI-0347,2025-02-12,Chickballapura,Soni Zila,Extortion,BNS 308,protection money demand,charge-sheeted,True
FIR-2025-HAS-0348,2025-01-26,Hassan,Gupta Road,Extortion,BNS 308,digital arrest threat call,under-investigation,True
FIR-2025-BAL-0349,2025-04-17,Ballari,Saini Circle,Cheating,BNS 318,land document forgery,court-pending,True
FIR-2024-KOL-0350,2024-04-10,Kolar,Chopra Circle,Cheating,BNS 318,fake job placement racket,convicted,True
FIR-2024-UDU-0351,2024-05-13,Udupi,Narasimhan Ganj,Burglary,BNS 331,terrace entry,closed,True
FIR-2024-TUM-0352,2024-06-14,Tumakuru,Pau Marg,Theft,BNS 303,shop till theft,convicted,True
FIR-2024-DHA-0353,2024-04-21,Dharwad,Ghosh Road,Robbery,BNS 309,knife-point street robbery,court-pending,True
FIR-2025-CHI-0354,2025-04-01,Chickballapura,Comar Circle,Robbery,BNS 309,knife-point street robbery,court-pending,True
FIR-2025-UDU-0355,2025-05-17,Udupi,Kalita,Rioting,BNS 191,communal flashpoint clash,court-pending,True
FIR-2024-TUM-0356,2024-02-26,Tumakuru,Pau Marg,Cheating,BNS 318,fake job placement racket,court-pending,True
FIR-2025-MAN-0357,2025-10-07,Mandya,Johal Zila,Robbery,BNS 309,ATM-exit targeting,under-investigation,True
FIR-2025-TUM-0358,2025-02-02,Tumakuru,Pau Marg,Extortion,BNS 308,digital arrest threat call,charge-sheeted,True
FIR-2025-RAI-0359,2025-04-14,Raichur,Srinivas Nagar,NDPS,NDPS Act 20,street-level peddling,convicted,True
FIR-2024-MYS-0360,2024-01-15,Mysuru,Merchant Chowk,Burglary,BNS 331,night house-break via rear entry,convicted,True
FIR-2024-UDU-0361,2024-07-26,Udupi,Agate Street,Robbery,BNS 309,ATM-exit targeting,under-investigation,True
FIR-2024-BEL-0362,2024-06-26,Belagavi,Pillay Chowk,Rioting,BNS 191,protest escalation,court-pending,True
FIR-2024-DAK-0363,2024-03-23,Dakshina Kannada,Shetty Zila,Rioting,BNS 191,protest escalation,convicted,True
FIR-2025-BAG-0364,2025-06-19,Bagalkot,Ben Road,Theft,BNS 303,vehicle theft from parking,under-investigation,True
FIR-2025-BEN-0365,2025-03-04,Bengaluru City,Iyer Street,Cyber Fraud,IT Act 66D,UPI phishing call,under-investigation,True
FIR-2025-DAK-0366,2025-04-30,Dakshina Kannada,Shetty Zila,Robbery,BNS 309,highway vehicle stop,under-investigation,True
FIR-2024-DAK-0367,2024-06-29,Dakshina Kannada,Shetty Zila,NDPS,NDPS Act 20,street-level peddling,charge-sheeted,True
FIR-2024-DHA-0368,2024-08-21,Dharwad,Ghosh Road,Cyber Fraud,IT Act 66D,fake loan app extortion,charge-sheeted,True
FIR-2024-VIJ-0369,2024-05-19,Vijayapur,Yogi Ganj,Cyber Fraud,IT Act 66D,fake loan app extortion,closed,True
FIR-2025-DAK-0370,2025-09-10,Dakshina Kannada,Rege Road,Cyber Fraud,IT Act 66D,courier scam,under-investigation,True
FIR-2024-BAL-0371,2024-09-10,Ballari,Saini Circle,Burglary,BNS 331,night house-break via rear entry,closed,True
FIR-2025-BAL-0372,2025-05-22,Ballari,Prabhakar Chowk,Extortion,BNS 308,protection money demand,court-pending,True
FIR-2024-SHI-0373,2024-01-17,Shivamogga,Pillai Zila,Robbery,BNS 309,ATM-exit targeting,convicted,True
FIR-2025-TUM-0374,2025-10-04,Tumakuru,Rana Zila,Chain Snatching,BNS 304,market crowd snatching,closed,True
FIR-2025-MYS-0375,2025-11-21,Mysuru,Mahajan Circle,Rioting,BNS 191,protest escalation,charge-sheeted,True
FIR-2025-VIJ-0376,2025-12-27,Vijayapur,Chatterjee Zila,NDPS,NDPS Act 20,street-level peddling,closed,True
FIR-2024-MAN-0377,2024-10-10,Mandya,Jha,Cyber Fraud,IT Act 66D,UPI phishing call,charge-sheeted,True
FIR-2024-SHI-0378,2024-07-02,Shivamogga,Patil Ganj,Cheating,BNS 318,investment ponzi scheme,court-pending,True
FIR-2025-BAG-0379,2025-03-06,Bagalkot,Khanna Path,Cyber Fraud,IT Act 66D,UPI phishing call,under-investigation,True
FIR-2025-BAG-0380,2025-07-15,Bagalkot,Ben Road,NDPS,NDPS Act 20,street-level peddling,charge-sheeted,True
FIR-2024-MAN-0381,2024-05-31,Mandya,Jha,Murder,BNS 103,personal enmity,charge-sheeted,True
FIR-2024-HAS-0382,2024-08-31,Hassan,Sha Zila,Chain Snatching,BNS 304,market crowd snatching,charge-sheeted,True
FIR-2024-BEL-0383,2024-11-04,Belagavi,Lalla Nagar,NDPS,NDPS Act 20,courier parcel concealment,charge-sheeted,True
FIR-2025-SHI-0384,2025-04-30,Shivamogga,Pillai Zila,Theft,BNS 303,pickpocketing in transit,convicted,True
FIR-2024-RAI-0385,2024-05-22,Raichur,Balasubramanian Chowk,Murder,BNS 103,property dispute,charge-sheeted,True
FIR-2025-DAV-0386,2025-06-23,Davanagere,Bali Road,Rioting,BNS 191,protest escalation,under-investigation,True
FIR-2025-KAL-0387,2025-02-11,Kalaburagi,Kant,Cyber Fraud,IT Act 66D,OTP social engineering,charge-sheeted,True
FIR-2024-DHA-0388,2024-06-16,Dharwad,Aurora Street,Theft,BNS 303,vehicle theft from parking,convicted,True
FIR-2025-DAK-0389,2025-02-28,Dakshina Kannada,Barad Nagar,Theft,BNS 303,vehicle theft from parking,convicted,True
FIR-2024-BAG-0390,2024-11-07,Bagalkot,Naik,Rioting,BNS 191,protest escalation,closed,True
FIR-2025-BAL-0391,2025-12-05,Ballari,Prabhakar Chowk,Extortion,BNS 308,digital arrest threat call,under-investigation,True
FIR-2025-BEL-0392,2025-12-11,Belagavi,Pillay Chowk,Extortion,BNS 308,protection money demand,court-pending,True
FIR-2024-DHA-0393,2024-02-24,Dharwad,Bal Zila,Chain Snatching,BNS 304,two-wheeler drive-by snatching,court-pending,True
FIR-2025-RAI-0394,2025-12-05,Raichur,Sandhu Marg,Rioting,BNS 191,communal flashpoint clash,convicted,True
FIR-2025-VIJ-0395,2025-05-30,Vijayapur,Tailor Road,Chain Snatching,BNS 304,two-wheeler drive-by snatching,charge-sheeted,True
FIR-2024-SHI-0396,2024-12-16,Shivamogga,Patil Ganj,Rioting,BNS 191,communal flashpoint clash,convicted,True
FIR-2024-VIJ-0397,2024-05-08,Vijayapur,Chatterjee Zila,Theft,BNS 303,shop till theft,closed,True
FIR-2024-VIJ-0398,2024-02-13,Vijayapur,Tailor Road,Cheating,BNS 318,land document forgery,under-investigation,True
FIR-2024-MAN-0399,2024-07-23,Mandya,Nath Nagar,Rioting,BNS 191,protest escalation,under-investigation,True
FIR-2025-TUM-0400,2025-08-06,Tumakuru,Borra Chowk,NDPS,NDPS Act 20,street-level peddling,convicted,True
FIR-2025-CHI-0401,2025-05-31,Chickballapura,Soni Zila,Burglary,BNS 331,night house-break via rear entry,convicted,True
FIR-2025-VIJ-0402,2025-03-10,Vijayapur,Chatterjee Zila,Cheating,BNS 318,fake job placement racket,charge-sheeted,True
FIR-2024-UDU-0403,2024-04-28,Udupi,Agate Street,Extortion,BNS 308,digital arrest threat call,charge-sheeted,True
FIR-2025-MAN-0404,2025-05-02,Mandya,Dass Ganj,Burglary,BNS 331,terrace entry,under-investigation,True
FIR-2025-BEL-0405,2025-12-12,Belagavi,Dasgupta Circle,Cheating,BNS 318,investment ponzi scheme,under-investigation,True
FIR-2025-BAG-0406,2025-06-07,Bagalkot,Khanna Path,Rioting,BNS 191,protest escalation,under-investigation,True
FIR-2024-CHI-0407,2024-03-10,Chickballapura,Sama Street,Murder,BNS 103,property dispute,closed,True
FIR-2025-BAG-0408,2025-05-19,Bagalkot,Naik,NDPS,NDPS Act 20,courier parcel concealment,under-investigation,True
FIR-2025-HAS-0409,2025-04-05,Hassan,Bail,Cheating,BNS 318,investment ponzi scheme,charge-sheeted,True
FIR-2025-RAI-0410,2025-11-22,Raichur,Swaminathan Zila,Rioting,BNS 191,communal flashpoint clash,charge-sheeted,True
FIR-2025-MYS-0411,2025-08-27,Mysuru,Kurian Street,Murder,BNS 103,property dispute,convicted,True
FIR-2025-MAN-0412,2025-02-25,Mandya,Nath Nagar,Cyber Fraud,IT Act 66D,fake loan app extortion,court-pending,True
FIR-2025-KOL-0413,2025-08-04,Kolar,Mitra Circle,Cheating,BNS 318,land document forgery,under-investigation,True
FIR-2024-HAS-0414,2024-12-10,Hassan,Sha Zila,Burglary,BNS 331,lock-picking daytime entry,court-pending,True
FIR-2024-MYS-0415,2024-09-28,Mysuru,Merchant Chowk,Theft,BNS 303,shop till theft,closed,True
FIR-2024-KOL-0416,2024-12-10,Kolar,Mitra Circle,Rioting,BNS 191,protest escalation,charge-sheeted,True
FIR-2025-KOL-0417,2025-02-28,Kolar,Mitra Circle,Burglary,BNS 331,terrace entry,court-pending,True
FIR-2025-VIJ-0418,2025-10-03,Vijayapur,Yogi Ganj,Rioting,BNS 191,communal flashpoint clash,charge-sheeted,True
FIR-2025-VIJ-0419,2025-10-11,Vijayapur,Rama Street,Robbery,BNS 309,highway vehicle stop,under-investigation,True
FIR-2024-BAL-0420,2024-06-02,Ballari,Dubey,Robbery,BNS 309,ATM-exit targeting,charge-sheeted,True
FIR-2024-BEN-0421,2024-05-19,Bengaluru City,Zacharia Street,Theft,BNS 303,shop till theft,convicted,True
FIR-2024-TUM-0422,2024-02-26,Tumakuru,Pau Marg,Murder,BNS 103,personal enmity,court-pending,True
FIR-2024-KOL-0423,2024-04-24,Kolar,Chopra Circle,Burglary,BNS 331,terrace entry,court-pending,True
FIR-2025-BAL-0424,2025-02-03,Ballari,Chaudhary Marg,Cyber Fraud,IT Act 66D,UPI phishing call,under-investigation,True
FIR-2024-RAI-0425,2024-11-20,Raichur,Swaminathan Zila,Robbery,BNS 309,knife-point street robbery,charge-sheeted,True
FIR-2024-MYS-0426,2024-11-11,Mysuru,Mahajan Circle,Cyber Fraud,IT Act 66D,fake loan app extortion,convicted,True
FIR-2024-VIJ-0427,2024-10-31,Vijayapur,Chatterjee Zila,Burglary,BNS 331,terrace entry,closed,True
FIR-2025-DHA-0428,2025-04-27,Dharwad,Bal Zila,Extortion,BNS 308,protection money demand,convicted,True
FIR-2024-DAK-0429,2024-02-23,Dakshina Kannada,Barad Nagar,Murder,BNS 103,personal enmity,convicted,True
FIR-2025-KAL-0430,2025-12-31,Kalaburagi,Kant,NDPS,NDPS Act 20,courier parcel concealment,convicted,True
FIR-2024-MAN-0431,2024-07-22,Mandya,Dass Ganj,Rioting,BNS 191,protest escalation,charge-sheeted,True
FIR-2025-BAL-0432,2025-10-24,Ballari,Prabhakar Chowk,NDPS,NDPS Act 20,street-level peddling,closed,True
FIR-2024-KAL-0433,2024-09-23,Kalaburagi,Chokshi Path,Rioting,BNS 191,communal flashpoint clash,closed,True
FIR-2024-CHI-0434,2024-09-29,Chickballapura,Pathak Chowk,Robbery,BNS 309,ATM-exit targeting,under-investigation,True
FIR-2024-BEN-0435,2024-05-29,Bengaluru City,Zacharia Street,Cheating,BNS 318,investment ponzi scheme,closed,True
FIR-2025-VIJ-0436,2025-12-10,Vijayapur,Rama Street,Cyber Fraud,IT Act 66D,OTP social engineering,convicted,True
FIR-2025-UDU-0437,2025-05-31,Udupi,Agate Street,Theft,BNS 303,pickpocketing in transit,closed,True
FIR-2024-KOL-0438,2024-06-22,Kolar,Mitra Circle,Theft,BNS 303,shop till theft,closed,True
FIR-2024-MAN-0439,2024-10-14,Mandya,Johal Zila,Chain Snatching,BNS 304,market crowd snatching,under-investigation,True
FIR-2025-BAG-0440,2025-11-04,Bagalkot,Khanna Path,Chain Snatching,BNS 304,two-wheeler drive-by snatching,under-investigation,True
FIR-2025-KAL-0441,2025-04-13,Kalaburagi,Chokshi Path,Cyber Fraud,IT Act 66D,fake loan app extortion,charge-sheeted,True
FIR-2025-BEL-0442,2025-11-24,Belagavi,Pillay Chowk,Robbery,BNS 309,ATM-exit targeting,under-investigation,True
FIR-2024-CHI-0443,2024-01-30,Chickballapura,Pathak Chowk,Chain Snatching,BNS 304,market crowd snatching,court-pending,True
FIR-2024-MYS-0444,2024-11-26,Mysuru,Mahajan Circle,Theft,BNS 303,pickpocketing in transit,court-pending,True
FIR-2024-KAL-0445,2024-10-18,Kalaburagi,Chokshi Path,Chain Snatching,BNS 304,market crowd snatching,under-investigation,True
